股票简称,股票代码,上市日期,发行价,最新价,发行中签率,总发行数,首日涨幅
逸飞激光,688646,2023-07-28 00:00:00,46.8,46.8,0.04329333,2379.0652,
N舜禹,301519,2023-07-27 00:00:00,20.93,34.11,0.026842788,4116,62.97
C盛邦,688651,2023-07-26 00:00:00,39.9,52.0,0.04075071,1888,-5.45
C威迈,688612,2023-07-26 00:00:00,47.29,53.65,0.04817413,4210,8.1
C君逸,301172,2023-07-26 00:00:00,31.33,45.61,0.0251523405,3080,8.08
C港通,301515,2023-07-25 00:00:00,31.16,43.2,0.02312986,2500,2.06
C福事特,301446,2023-07-25 00:00:00,31.89,37.18,0.018305404,2000,-1.72
C光格,688450,2023-07-24 00:00:00,53.09,47.88,0.04233674,1650,0.78
C博盈,301468,2023-07-24 00:00:00,47.58,38.73,0.0274113061,3300,1.39
C维科精,301499,2023-07-21 00:00:00,19.5,41.0,0.0248101781,3456.3717,30.95
康鹏科技,688602,2023-07-20 00:00:00,8.66,10.76,0.04931738,10387.5,-2.18
智信精密,301512,2023-07-20 00:00:00,39.66,67.22,0.0161403141,1333.34,-4.05
埃科光电,688610,2023-07-19 00:00:00,73.33,67.16,0.05113351,1700,-2.5
航材股份,688563,2023-07-19 00:00:00,78.99,59.66,0.05799267,9000,0.66
苏州规划,301505,2023-07-19 00:00:00,26.35,62.81,0.0233695311,2200,6.58
精智达,688627,2023-07-18 00:00:00,46.77,82.86,0.05231085,2350.2939,-2.38
智迪科技,301503,2023-07-17 00:00:00,31.59,33.81,0.0196458813,2000,-0.59
信音电子,301329,2023-07-17 00:00:00,21,22.61,0.0260660134,4300,3.1
盘古智能,301456,2023-07-14 00:00:00,37.96,38.0,0.0288447819,3715,3.97
英华特,301272,2023-07-13 00:00:00,51.39,68.76,0.0232157712,1463,-4.75
誉辰智能,688638,2023-07-12 00:00:00,83.9,69.2,0.05000222,1000,0.26
昊帆生物,301393,2023-07-12 00:00:00,67.68,89.03,0.0271192604,2700,-0.51
赛维时代,301381,2023-07-12 00:00:00,20.45,47.4,0.028125095,4010,-8.32
国科恒泰,301370,2023-07-12 00:00:00,13.39,17.95,0.0361345054,7060,-0.88
天承科技,688603,2023-07-10 00:00:00,55,93.11,0.04720468,1453.4232,-1.99
恒工精密,301261,2023-07-10 00:00:00,36.9,42.32,0.0230579481,2197.2549,1.76
致尚科技,301486,2023-07-07 00:00:00,57.66,52.99,0.0299902395,3217.03,-4.68
海科新源,301292,2023-07-07 00:00:00,19.99,23.89,0.0272305075,5574.0795,-1.61
朗威股份,301202,2023-07-05 00:00:00,25.82,33.12,0.0298724094,3410,-2.5
豪恩汽电,301488,2023-07-04 00:00:00,39.78,90.45,0.0244589933,2300,4.64
仁信新材,301395,2023-07-03 00:00:00,26.68,22.91,0.0264915733,3623,-1.04
芯动联科,688582,2023-06-30 00:00:00,26.74,39.65,0.04784247,5521,1.77
明阳电气,301291,2023-06-30 00:00:00,38.13,31.55,0.0322890677,7805,0.64
金杨股份,301210,2023-06-30 00:00:00,57.88,44.27,0.0246148025,2061.4089,-0.47
时创能源,688429,2023-06-29 00:00:00,19.2,24.41,0.04381186,4000.08,-2.83
莱斯信息,688631,2023-06-28 00:00:00,25.28,34.28,0.04161808,4087,-0.64
溯联股份,301397,2023-06-28 00:00:00,53.27,50.72,0.0254192806,2501,12.76
美硕科技,301295,2023-06-28 00:00:00,37.4,37.28,0.0231402615,1800,0.32
华丰科技,688629,2023-06-27 00:00:00,9.26,20.26,0.04650197,6914.8924,2.89
安凯微,688620,2023-06-27 00:00:00,10.68,13.91,0.05342602,9800,-3.0
锡南科技,301170,2023-06-27 00:00:00,34,36.93,0.0241426175,2500,3.53
广康生化,300804,2023-06-27 00:00:00,42.45,35.11,0.0253118426,1850,-1.07
国科军工,688543,2023-06-21 00:00:00,43.67,51.75,0.04308235,3667,3.83
致欧科技,301376,2023-06-21 00:00:00,24.66,27.09,0.0300744555,4015,-7.95
威士顿,301315,2023-06-21 00:00:00,32.29,54.83,0.0237519925,2200,-4.46
智翔金泰-U,688443,2023-06-20 00:00:00,37.88,29.64,0.06331652,9168,0.0
海看股份,301262,2023-06-20 00:00:00,30.22,31.42,0.0313253929,4170,4.63
西高院,688334,2023-06-19 00:00:00,14.16,17.23,0.04875112,7914.4867,-0.06
开创电气,301448,2023-06-19 00:00:00,18.15,29.33,0.0192940279,2000,-1.51
恒勃股份,301225,2023-06-16 00:00:00,35.66,35.92,0.0262414619,2588,4.57
飞沃科技,301232,2023-06-15 00:00:00,72.5,58.26,0.0261250295,1347,1.06
康力源,301287,2023-06-14 00:00:00,40.11,41.58,0.0187985503,1667,-3.64
南王科技,301355,2023-06-12 00:00:00,17.55,18.14,0.0301181674,4878,-1.89
阿特斯,688472,2023-06-09 00:00:00,11.1,15.59,0.11988913,54105.8824,-0.7
天键股份,301383,2023-06-09 00:00:00,46.16,38.51,0.0290729543,2906,1.08
豪江智能,301320,2023-06-09 00:00:00,13.06,21.48,0.0290840248,4530,-3.85
双元科技,688623,2023-06-08 00:00:00,125.88,87.83,0.05012432,1478.57,-0.51
西山科技,688576,2023-06-06 00:00:00,135.8,113.65,0.05161687,1325.0367,-1.68
新莱福,301323,2023-06-06 00:00:00,39.06,42.41,0.0263805262,2623.0723,-1.33
天玛智控,688570,2023-06-05 00:00:00,30.26,26.2,0.04984349,7300,-0.57
航天环宇,688523,2023-06-02 00:00:00,21.86,25.8,0.05016796,4088,-0.39
鑫宏业,301310,2023-06-02 00:00:00,67.28,62.6,0.0283019354,2427.47,1.87
新相微,688593,2023-06-01 00:00:00,11.18,17.15,0.05218272,9190.5883,-0.12
翔腾新材,001373,2023-06-01 00:00:00,28.93,46.26,0.0164455856,1717.1722,-3.22
普莱得,301353,2023-05-30 00:00:00,35.23,35.46,0.0194213795,1900,0.54
亚华电子,301337,2023-05-26 00:00:00,32.6,34.17,0.0250164233,2605,-1.1
同星科技,301252,2023-05-25 00:00:00,31.48,47.93,0.0186600263,2000,-2.38
航天软件,688562,2023-05-24 00:00:00,12.68,26.36,0.04396236,10000,1.23
三联锻造,001282,2023-05-24 00:00:00,27.93,30.59,0.0275287426,2838,0.43
英特科技,301399,2023-05-23 00:00:00,43.99,51.18,0.0245454356,2200,-0.45
朗坤环境,301305,2023-05-23 00:00:00,25.25,22.4,0.0296327942,6089.27,-2.18
美芯晟,688458,2023-05-22 00:00:00,75,77.99,0.04336173,2001,-5.08
长青科技,001324,2023-05-22 00:00:00,18.88,21.2,0.0293151774,3450,-2.48
安杰思,688581,2023-05-19 00:00:00,125.8,119.92,0.04701621,1447,-0.34
中科飞测-U,688361,2023-05-19 00:00:00,23.6,74.01,0.04758467,8000,-0.91
世纪恒通,301428,2023-05-19 00:00:00,26.35,35.87,0.0220619427,2466.6667,-1.86
航天南湖,688552,2023-05-18 00:00:00,21.17,24.3,0.04526895,8431.2701,0.87
德尔玛,301332,2023-05-18 00:00:00,14.81,14.76,0.0353892956,9231.25,-3.47
蜂助手,301382,2023-05-17 00:00:00,23.8,37.2,0.0247500469,4240,-6.67
慧智微-U,688512,2023-05-16 00:00:00,20.92,19.05,0.04746905,5430.05,-1.75
华纬科技,001380,2023-05-16 00:00:00,28.84,34.01,0.0287162395,3222,0.86
曼恩斯特,301325,2023-05-12 00:00:00,76.8,100.5,0.0274588155,3000,0.64
友车科技,688479,2023-05-11 00:00:00,33.99,28.97,0.04325119,3607.94,-1.56
中芯集成-U,688469,2023-05-10 00:00:00,5.69,5.63,0.24559514,169200,-0.18
万丰股份,603172,2023-05-10 00:00:00,14.58,17.6,0.03538129,3338,-1.68
经纬股份,301390,2023-05-08 00:00:00,37.7,48.51,0.0164914537,1500,0.0
晶合集成,688249,2023-05-05 00:00:00,19.86,19.57,0.10840977,50153.3789,-3.26
三博脑科,301293,2023-05-05 00:00:00,29.6,74.95,0.0260914459,3961.29,-2.78
荣旗科技,301360,2023-04-25 00:00:00,71.88,87.08,0.0258292439,1334,-2.16
晶升股份,688478,2023-04-24 00:00:00,32.52,42.6,0.03989362,3459.1524,-1.21
美利信,301307,2023-04-24 00:00:00,32.34,35.91,0.0284096508,5300,2.28
中船特气,688146,2023-04-21 00:00:00,36.15,38.95,0.04377772,7941.1765,-1.79
颀中科技,688352,2023-04-20 00:00:00,12.1,13.17,0.05579654,20000,-4.01
恒尚节能,603137,2023-04-19 00:00:00,15.9,21.08,0.03149167,3266.6667,-2.68
高华科技,688539,2023-04-18 00:00:00,38.22,41.97,0.03997401,3320,-0.21
索辰科技,688507,2023-04-18 00:00:00,245.56,118.83,0.04470476,1033.34,-1.3
光大同创,301387,2023-04-18 00:00:00,58.32,46.29,0.0227895897,1900,0.46
